icoa	coq	cu	p	strain	dir	series	tested	issued	conforms	source	path
iCoA-PP_26-109	CoQ-PP_26-096	GP082501/2	P050322	Grape Pie	RETEST	retest 1	23.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-109_P050322_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-110	CoQ-PP_26-097	HPA1024	HPA1024	High Pro Amnesia	RETEST	retest 1	23.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-110_HPA1024_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-111	CoQ-PP_26-098	HPA1024_01	P050052	High Pro Amnesia	RETEST	retest 1	23.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-111_P050052_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-112	CoQ-PP_26-099	J31102501	P060152	Jokerz 31	RETEST	retest 1	23.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-112_P060152_J31_Jokerz_31_Retest_1.html
iCoA-PP_26-113	CoQ-PP_26-100	JD112501	P060212	Jelly Donuts	RETEST	retest 1	23.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-113_P060212_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-114	CoQ-PP_26-101	OPM1024	OPM1024	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-114_OPM1024_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-115	CoQ-PP_26-102	OPM1024_02	P050062	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-115_P050062_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-116	CoQ-PP_26-103	OPM122501	P060242	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-116_P060242_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-118	CoQ-PP_26-104	PM092501	P060062	Permanent Marker	RETEST	retest 1	24.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-118_P060062_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-117	CoQ-PP_26-105	SCR012603	P060382	Scrambler	RETEST	retest 1	24.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-117_P060382_SCR_Scrambler_Retest_1.html
iCoA-PP_26-121	CoQ-PP_26-106	ACC102501	P060122	Amnesia Core Cut	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-121_P060122_ACC_Amnesia_Core_Cut_Retest_1.html
iCoA-PP_26-122	CoQ-PP_26-107	BSS052501	P050192	Blue Sunset Sherbet	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-122_P050192_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-143	CoQ-PP_26-108	CC012603	P060372	Cash Cow	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-143_P060372_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-123	CoQ-PP_26-109	CF102501	P060132	Chem Flyer	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-123_P060132_CF_Chem_Flyer_Retest_1.html
iCoA-PP_26-124	CoQ-PP_26-110	CJ062501/1	P050222	Cap Junky	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-124_P050222_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-125	CoQ-PP_26-111	CJ082501/1	P060022	Cap Junky	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-125_P060022_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-126	CoQ-PP_26-112	CJ092501	P060072	Cap Junky	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-126_P060072_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-113	CoQ-PP_26-113	CLE072501	P050282	Clemosa A Bud	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-113_P050282_CLE_Clemosa_A_Bud_Retest_1.html
iCoA-PP_26-128	CoQ-PP_26-114	FB012601/1	P060322	Fat Bastard	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-128_P060322_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-129	CoQ-PP_26-115	GG1024	GG1024	Gorilla Glue	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-129_GG1024_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-130	CoQ-PP_26-116	GP072501/2	P050302	Grape Pie	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-130_P050302_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-131	CoQ-PP_26-117	GP0824_03	P050072	Grape Pie	RETEST	retest 1	12.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-131_P050072_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-132	CoQ-PP_26-118	GP082501/1	P050312	Grape Pie	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-132_P050312_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-133	CoQ-PP_26-119	GP092501	P060092	Grape Pie	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-133_P060092_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-134	CoQ-PP_26-120	GRC102501/2	P060182	Grapes And Cream	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-134_P060182_GRC_Grapes_And_Cream_Retest_1.html
iCoA-PP_26-135	CoQ-PP_26-121	HPA052501	P050182	High Pro Amnesia	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-135_P050182_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-138	CoQ-PP_26-122	JD012603/01	P060362	Jelly Donuts	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-138_P060362_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-123	CoQ-PP_26-123	JD012603/02	P060412	Jelly Donuts	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-123_P060412_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-137	CoQ-PP_26-124	JD012603/02V	P060422	Jelly Donuts	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-137_P060422_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-125	CoQ-PP_26-125	JD042601	P060492	Jelly Donuts	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-125_P060492_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-139	CoQ-PP_26-126	KC102501	P060172	Kush Crasher	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-139_P060172_KC_Kush_Crasher_Retest_1.html
iCoA-PP_26-140	CoQ-PP_26-127	MB0824_05	P050112	Motor Breath	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-140_P050112_MB_Motor_Breath_Retest_1.html
iCoA-PP_26-142	CoQ-PP_26-128	OMP1024_01	P050042	Orange Punch Mimosa	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-142_P050042_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-129	CoQ-PP_26-129	OPM092501	P060042	Orange Punch Mimosa	RETEST	retest 1	13.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-129_P060042_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-147	CoQ-PP_26-130	OPM1024_03	P050082	Orange Punch Mimosa	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-147_P050082_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-148	CoQ-PP_26-131	PM112501	P060232	Permanent Marker	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-148_P060232_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-149	CoQ-PP_26-132	PUM102501	P060112	Pure Michigen	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-149_P060112_PUM_Pure_Michigen_Retest_1.html
iCoA-PP_26-150	CoQ-PP_26-133	SCR112501	P060282	Scrambler	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-150_P060282_SCR_Scrambler_Retest_1.html
iCoA-PP_26-134	CoQ-PP_26-134	SJ092501	P060082	Sleepy Joe	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-134_P060082_SJ_Sleepy_Joe_Retest_1.html
iCoA-PP_26-152	CoQ-PP_26-135	WC082501	P060012	Wedding Crusher	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-152_P060012_WC_Wedding_Crusher_Retest_1.html
iCoA-PP_26-136	CoQ-PP_26-136	AB092501	P060052	Apple and Banana	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-136_P060052_AB_Apple_and_Banana_Retest_1.html
iCoA-PP_26-137	CoQ-PP_26-137	BSS1024_01	P050122	Blue Sunset Sherbet	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-137_P050122_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-138	CoQ-PP_26-138	BSS1024_01/2	P050142	Blue Sunset Sherbet	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-138_P050142_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-139	CoQ-PP_26-139	CC112501		Cash Cow	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-139_CC112501_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-140	CoQ-PP_26-140	CJ052501-2	P050172	Cap Junky	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-140_P050172_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-141	CoQ-PP_26-141	CJ072501	P050252	Cap Junky	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-141_P050252_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-142	CoQ-PP_26-142	CJ1024		Cap Junky	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-142_CJ1024_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-143	CoQ-PP_26-143	FB012603		Fat Bastard	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-143_FB012603_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-144	CoQ-PP_26-144	FB012603V		Fat Bastard	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-144_FB012603V_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-145	CoQ-PP_26-145	FB112501		Fat Bastard	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-145_FB112501_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-146	CoQ-PP_26-146	GG012601		Gorilla Glue	RETEST	retest 1	21.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-146_GG012601_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-147	CoQ-PP_26-147	GG1024_02	P050012	Gorilla Glue	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-147_P050012_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-148	CoQ-PP_26-148	GG112501		Gorilla Glue	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-148_GG112501_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-149	CoQ-PP_26-149	GP062501	P050202	Grape Pie	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-149_P050202_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-150	CoQ-PP_26-150	GP072501-1	P050292	Grape Pie	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-150_P050292_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-151	CoQ-PP_26-151	GP0824_01	P050102	Grape Pie	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-151_P050102_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-152	CoQ-PP_26-152	GRC102501/1	P060142	Grapes And Cream	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-152_P060142_GRC_Grapes_And_Cream_Retest_1.html
iCoA-PP_26-153	CoQ-PP_26-153	J31112501		Jokerz 31	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-153_J31112501_J3_Jokerz_31_Retest_1.html
iCoA-PP_26-154	CoQ-PP_26-154	J31122501		Jokerz 31	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-154_J31122501_J3_Jokerz_31_Retest_1.html
iCoA-PP_26-155	CoQ-PP_26-155	JD012601		Jelly Donuts	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-155_JD012601_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-156	CoQ-PP_26-156	MB0824_04	P050032	Motor Breath	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-156_P050032_MB_Motor_Breath_Retest_1.html
iCoA-PP_26-157	CoQ-PP_26-157	OPM052501	P050132	Orange Punch Mimosa	RETEST	retest 1	20.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-157_P050132_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-158	CoQ-PP_26-158	OPM112501		Orange Punch Mimosa	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-158_OPM112501_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-159	CoQ-PP_26-159	PM072501	P050272	Permanent Marker	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-159_P050272_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-160	CoQ-PP_26-160	SCR012601	P060342	Scrambler	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-160_P060342_SCR_Scrambler_Retest_1.html
iCoA-PP_26-161	CoQ-PP_26-161	SCR022601		Scrambler	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-161_SCR022601_SCR_Scrambler_Retest_1.html
iCoA-PP_26-162	CoQ-PP_26-162	SJ102501		Sleepy Joe	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-162_SJ102501_SJ_Sleepy_Joe_Retest_1.html
iCoA-PP_26-163	CoQ-PP_26-163	SJ112501		Sleepy Joe	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-163_SJ112501_SJ_Sleepy_Joe_Retest_1.html
iCoA-PP_26-164	CoQ-PP_26-164	WC072501	P050262	Wedding Crusher	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-164_P050262_WC_Wedding_Crusher_Retest_1.html
iCoA-PP_26-165	CoQ-PP_26-165	WED102501	P060102	Wedding Cake	RETEST	retest 1	19.08.2026	24.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-165_P060102_WED_Wedding_Cake_Retest_1.html
iCoA-PP_26-166	CoQ-PP_26-166	CC042601		Cash Cow	INITIAL	initial release		03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-166_CC042601_CC_Cash_Cow_Initial.html
iCoA-PP_26-167	CoQ-PP_26-167	FB042601		Fat Bastard	INITIAL	initial release		03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-167_FB042601_FB_Fat_Bastard_Initial.html
iCoA-PP_26-168	CoQ-PP_26-168	P160012		Grape Pie	INITIAL	initial release		06.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-168_P160012_GP_Grape_Pie_Initial.html
iCoA-PP_26-169	CoQ-PP_26-169	P160022		Grape Pie	INITIAL	initial release		06.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-169_P160022_GP_Grape_Pie_Initial.html
iCoA-PP_26-170	CoQ-PP_26-170	P160032		Grape Pie	INITIAL	initial release		06.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-170_P160032_GP_Grape_Pie_Initial.html
iCoA-PP_26-171	CoQ-PP_26-171	CC042601		Cash Cow	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-171_CC042601_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-172	CoQ-PP_26-172	FB042601		Fat Bastard	RETEST	retest 1	14.08.2026	17.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-172_FB042601_FB_Fat_Bastard_Retest_1.html
