Batch,Cultivation batch,Strain,#1,#2,#3,#4,#5,#6,#7,#8,#9.1,#9.2,#9.3,#9.4,#9.5,#9.6,#9.7,#10.1,#10.2,#10.3,#11.1,#11.2,#11.3,#11.4,#12
P050162,CJ052501/01,Cap Junky,"iCoA-PP_26-020, 03.06.2026 [internal]
iCoA-PP_26-100, 27.07.2026 [internal]","iCoA-PP_26-020, 03.06.2026 [internal]
iCoA-PP_26-100, 27.07.2026 [internal]","ППК25280, 17.09.2025
197-3-К/26, 07.08.2026","ППК25280, 17.09.2025
197-3-К/26, 07.08.2026","ППК25280, 17.09.2025
197-3-К/26, 07.08.2026","ППК25280, 17.09.2025
197-3-К/26, 07.08.2026","iCoA-PP_26-020, 03.06.2026 [internal]
iCoA-PP_26-100, 27.07.2026 [internal]","ППК25280, 17.09.2025","949/1687/25, 17.09.2025","949/1687/25, 17.09.2025","949/1687/25, 17.09.2025","949/1687/25, 17.09.2025","949/1687/25, 17.09.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-3-М/26, 10.08.2026","4350/2025, 15.09.2025
197-3-М/26, 10.08.2026","release — not tested — no certificate covers it
197-3-М/26, 10.08.2026","4350/2025, 15.09.2025","4350/2025, 15.09.2025","4350/2025, 15.09.2025","4350/2025, 15.09.2025","4350/2025, 15.09.2025"
P050172,CJ052501-2,Cup Junky,"iCoA-PP_26-021, 03.06.2026 [internal]
iCoA-PP_26-176, 24.08.2026 [internal]","iCoA-PP_26-021, 03.06.2026 [internal]
iCoA-PP_26-176, 24.08.2026 [internal]","ППК25281, 17.09.2025
227-28-К/26, 11.09.2026","ППК25281, 17.09.2025
227-28-К/26, 11.09.2026","ППК25281, 17.09.2025
227-28-К/26, 11.09.2026","release — not tested — no certificate covers it
227-28-К/26, 11.09.2026","iCoA-PP_26-021, 03.06.2026 [internal]
iCoA-PP_26-176, 24.08.2026 [internal]","ППК25281, 17.09.2025","947/1685/25, 17.09.2025","947/1685/25, 17.09.2025","947/1685/25, 17.09.2025","947/1685/25, 17.09.2025","947/1685/25, 17.09.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","4349/2025, 15.09.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","4349/2025, 15.09.2025","4349/2025, 15.09.2025","4349/2025, 15.09.2025","4349/2025, 15.09.2025","4349/2025, 15.09.2025"
P050182,HPA052501,High Pro Amnesia,"iCoA-PP_26-022, 03.06.2026 [internal]
iCoA-PP_26-135, 17.08.2026 [internal]","iCoA-PP_26-022, 03.06.2026 [internal]
iCoA-PP_26-135, 17.08.2026 [internal]","ППК25278, 19.09.2025
220-15-К/26, 25.08.2026","ППК25278, 19.09.2025
220-15-К/26, 25.08.2026","ППК25278, 19.09.2025
220-15-К/26, 25.08.2026","ППК25278, 19.09.2025
220-15-К/26, 25.08.2026","iCoA-PP_26-022, 03.06.2026 [internal]
iCoA-PP_26-135, 17.08.2026 [internal]","ППК25278, 19.09.2025","948/1686/25, 17.09.2025","948/1686/25, 17.09.2025","948/1686/25, 17.09.2025","948/1686/25, 17.09.2025","948/1686/25, 17.09.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-15-М/26, 11.09.2026","4352/2025, 15.09.2025
220-15-М/26, 11.09.2026","release — not tested — no certificate covers it
220-15-М/26, 11.09.2026","4352/2025, 15.09.2025","4352/2025, 15.09.2025","4352/2025, 15.09.2025","4352/2025, 15.09.2025","4352/2025, 15.09.2025"
P050192,BSS052501,Blue Sunset Sherbet,"iCoA-PP_26-023, 03.06.2026 [internal]
iCoA-PP_26-122, 17.08.2026 [internal]","iCoA-PP_26-023, 03.06.2026 [internal]
iCoA-PP_26-122, 17.08.2026 [internal]","In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025 [internal]
220-2-К/26, 25.08.2026","iCoA-PP_26-023, 03.06.2026 [internal]
220-2-К/26, 25.08.2026","iCoA-PP_26-023, 03.06.2026 [internal]
220-2-К/26, 25.08.2026","release — not tested — no certificate covers it
220-2-К/26, 25.08.2026","iCoA-PP_26-023, 03.06.2026 [internal]
iCoA-PP_26-122, 17.08.2026 [internal]","iCoA-PP_26-023, 03.06.2026 [internal]","1157/2058/25, 24.11.2025","1157/2058/25, 24.11.2025","1157/2058/25, 24.11.2025","1157/2058/25, 24.11.2025","1157/2058/25, 24.11.2025",release — upon request — not required for release,release — upon request — not required for release,"276-31-М/25, 04.12.2025
220-2-М/26, 11.09.2026","release — not tested — no certificate covers it
220-2-М/26, 11.09.2026","276-31-М/25, 04.12.2025
220-2-М/26, 11.09.2026","5661/2025, 01.12.2025","5661/2025, 01.12.2025","5661/2025, 01.12.2025","5661/2025, 01.12.2025","10802_2845/2, 17.11.2025"
P050202,GP062501,Grape Pie,"iCoA-PP_26-024, 03.06.2026 [internal]
iCoA-PP_26-165, 24.08.2026 [internal]","iCoA-PP_26-024, 03.06.2026 [internal]
iCoA-PP_26-165, 24.08.2026 [internal]","In-house HPLC cross-check NPCCC/SCP-02, NGP/QCG/SOP-024, 28.11.2025 [internal]
227-18-К/26, 11.09.2026","iCoA-PP_26-024, 03.06.2026 [internal]
227-18-К/26, 11.09.2026","iCoA-PP_26-024, 03.06.2026 [internal]
227-18-К/26, 11.09.2026","release — not tested — no certificate covers it
227-18-К/26, 11.09.2026","iCoA-PP_26-024, 03.06.2026 [internal]
iCoA-PP_26-165, 24.08.2026 [internal]","iCoA-PP_26-024, 03.06.2026 [internal]","1009/1813/25, 08.10.2025","1009/1813/25, 08.10.2025","1009/1813/25, 08.10.2025","1009/1813/25, 08.10.2025","1009/1813/25, 08.10.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","4762/2025, 08.10.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","4762/2025, 08.10.2025","4762/2025, 08.10.2025","4762/2025, 08.10.2025","4762/2025, 08.10.2025","4762/2025, 08.10.2025"
P050212,CJ062501-2,Cap Junkie,"iCoA-PP_26-025, 03.06.2026 [internal]
iCoA-PP_26-101, 27.07.2026 [internal]","iCoA-PP_26-025, 03.06.2026 [internal]
iCoA-PP_26-101, 27.07.2026 [internal]","ППК25322, 23.10.2025
197-4-К/26, 07.08.2026","ППК25322, 23.10.2025
197-4-К/26, 07.08.2026","ППК25322, 23.10.2025
197-4-К/26, 07.08.2026","ППК25322, 23.10.2025
197-4-К/26, 07.08.2026","iCoA-PP_26-025, 03.06.2026 [internal]
iCoA-PP_26-101, 27.07.2026 [internal]","ППК25322, 23.10.2025","1032/1851/25, 17.10.2025","1032/1851/25, 17.10.2025","1032/1851/25, 17.10.2025","1032/1851/25, 17.10.2025","1032/1851/25, 17.10.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-4-М/26, 10.08.2026","4908/2025, 24.10.2025
197-4-М/26, 10.08.2026","release — not tested — no certificate covers it
197-4-М/26, 10.08.2026","4908/2025, 24.10.2025","4908/2025, 24.10.2025","4908/2025, 24.10.2025","4908/2025, 24.10.2025","4908/2025, 24.10.2025"
P050222,CJ062501/1,Cap Junky,"iCoA-PP_26-026, 03.06.2026 [internal]
iCoA-PP_26-124, 17.08.2026 [internal]","iCoA-PP_26-026, 03.06.2026 [internal]
iCoA-PP_26-124, 17.08.2026 [internal]","ППК25321, 23.10.2025
220-3-К/26, 25.08.2026","ППК25321, 23.10.2025
220-3-К/26, 25.08.2026","ППК25321, 23.10.2025
220-3-К/26, 25.08.2026","ППК25321, 23.10.2025
220-3-К/26, 25.08.2026","iCoA-PP_26-026, 03.06.2026 [internal]
iCoA-PP_26-124, 17.08.2026 [internal]","ППК25321, 23.10.2025","1217/2168/25, 01.12.2025","1217/2168/25, 01.12.2025","1217/2168/25, 01.12.2025","1217/2168/25, 01.12.2025","1217/2168/25, 01.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-3-М/26, 11.09.2026","4907/2025, 24.10.2025
220-3-М/26, 11.09.2026","release — not tested — no certificate covers it
220-3-М/26, 11.09.2026","4907/2025, 24.10.2025","4907/2025, 24.10.2025","4907/2025, 24.10.2025","4907/2025, 24.10.2025","4907/2025, 24.10.2025"
P050252,CJ072501,Cup Junky,"iCoA-PP_26-027, 03.06.2026 [internal]
iCoA-PP_26-177, 24.08.2026 [internal]","iCoA-PP_26-027, 03.06.2026 [internal]
iCoA-PP_26-177, 24.08.2026 [internal]","ППК25367, 28.11.2025
227-27-К/26, 11.09.2026","ППК25367, 28.11.2025
227-27-К/26, 11.09.2026","ППК25367, 28.11.2025
227-27-К/26, 11.09.2026","release — not tested — no certificate covers it
227-27-К/26, 11.09.2026","iCoA-PP_26-027, 03.06.2026 [internal]
iCoA-PP_26-177, 24.08.2026 [internal]","ППК25367, 28.11.2025","1218/2169/25, 01.12.2025","1218/2169/25, 01.12.2025","1218/2169/25, 01.12.2025","1218/2169/25, 01.12.2025","1218/2169/25, 01.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5697/2025, 02.12.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5697/2025, 02.12.2025","5697/2025, 02.12.2025","5697/2025, 02.12.2025","5697/2025, 02.12.2025","5697/2025, 02.12.2025"
P050262,WC072501,Wedding Crasher,"iCoA-PP_26-028, 03.06.2026 [internal]
iCoA-PP_26-161, 24.08.2026 [internal]","iCoA-PP_26-028, 03.06.2026 [internal]
iCoA-PP_26-161, 24.08.2026 [internal]","ППК25369, 28.11.2025
227-3-К/26, 11.09.2026","ППК25369, 28.11.2025
227-3-К/26, 11.09.2026","ППК25369, 28.11.2025
227-3-К/26, 11.09.2026","release — not tested — no certificate covers it
227-3-К/26, 11.09.2026","iCoA-PP_26-028, 03.06.2026 [internal]
iCoA-PP_26-161, 24.08.2026 [internal]","ППК25369, 28.11.2025","1221/2172/25, 01.12.2025","1221/2172/25, 01.12.2025","1221/2172/25, 01.12.2025","1221/2172/25, 01.12.2025","1221/2172/25, 01.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5699/2025, 02.12.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5699/2025, 02.12.2025","5699/2025, 02.12.2025","5699/2025, 02.12.2025","5699/2025, 02.12.2025","5699/2025, 02.12.2025"
P050272,PM072501,Permanent Market,"iCoA-PP_26-029, 03.06.2026 [internal]
iCoA-PP_26-156, 24.08.2026 [internal]","iCoA-PP_26-029, 03.06.2026 [internal]
iCoA-PP_26-156, 24.08.2026 [internal]","ППК25368, 28.11.2025
227-9-К/26, 11.09.2026","ППК25368, 28.11.2025
227-9-К/26, 11.09.2026","ППК25368, 28.11.2025
227-9-К/26, 11.09.2026","release — not tested — no certificate covers it
227-9-К/26, 11.09.2026","iCoA-PP_26-029, 03.06.2026 [internal]
iCoA-PP_26-156, 24.08.2026 [internal]","ППК25368, 28.11.2025","1220/2171/25, 01.12.2025","1220/2171/25, 01.12.2025","1220/2171/25, 01.12.2025","1220/2171/25, 01.12.2025","1220/2171/25, 01.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5698/2025, 02.12.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5698/2025, 02.12.2025","5698/2025, 02.12.2025","5698/2025, 02.12.2025","5698/2025, 02.12.2025","5698/2025, 02.12.2025"
P050282,CLE072501,Clemosa A Bud,"iCoA-PP_26-030, 03.06.2026 [internal]
iCoA-PP_26-127, 17.08.2026 [internal]","iCoA-PP_26-030, 03.06.2026 [internal]
iCoA-PP_26-127, 17.08.2026 [internal]","PP CoA #027 / ППК25370, 21.01.2026
220-7-К/26, 25.08.2026","PP CoA #027 / ППК25370, 21.01.2026
220-7-К/26, 25.08.2026","PP CoA #027 / ППК25370, 21.01.2026
220-7-К/26, 25.08.2026","ППК25370, 28.11.2025
220-7-К/26, 25.08.2026","iCoA-PP_26-030, 03.06.2026 [internal]
iCoA-PP_26-127, 17.08.2026 [internal]","PP CoA #027 / ППК25370, 21.01.2026","1219/2170/25, 01.12.2025","1219/2170/25, 01.12.2025","1219/2170/25, 01.12.2025","1219/2170/25, 01.12.2025","1219/2170/25, 01.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-7-М/26, 11.09.2026","5700/2025, 02.12.2025
220-7-М/26, 11.09.2026","release — not tested — no certificate covers it
220-7-М/26, 11.09.2026","5700/2025, 02.12.2025","5700/2025, 02.12.2025","5700/2025, 02.12.2025","5700/2025, 02.12.2025","5700/2025, 02.12.2025"
P050292,GP072501-1,Grape Pie,"iCoA-PP_26-031, 03.06.2026 [internal]
iCoA-PP_26-166, 24.08.2026 [internal]","iCoA-PP_26-031, 03.06.2026 [internal]
iCoA-PP_26-166, 24.08.2026 [internal]","PP CoA #018 / ППК25378, 21.01.2026
227-17-К/26, 11.09.2026","PP CoA #018 / ППК25378, 21.01.2026
227-17-К/26, 11.09.2026","PP CoA #018 / ППК25378, 21.01.2026
227-17-К/26, 11.09.2026","release — not tested — no certificate covers it
227-17-К/26, 11.09.2026","iCoA-PP_26-031, 03.06.2026 [internal]
iCoA-PP_26-166, 24.08.2026 [internal]","PP CoA #018 / ППК25378, 21.01.2026","1228/2194/25, 05.12.2025","1228/2194/25, 05.12.2025","1228/2194/25, 05.12.2025","1228/2194/25, 05.12.2025","1228/2194/25, 05.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5886/2025, 12.12.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","5886/2025, 12.12.2025","5886/2025, 12.12.2025","5886/2025, 12.12.2025","5886/2025, 12.12.2025","5886/2025, 12.12.2025"
P050302,GP072501/2,Grape Pie,"iCoA-PP_26-032, 03.06.2026 [internal]
iCoA-PP_26-130, 17.08.2026 [internal]","iCoA-PP_26-032, 03.06.2026 [internal]
iCoA-PP_26-130, 17.08.2026 [internal]","PP CoA #019 / ППК25379, 21.01.2026
220-10-К/26, 25.08.2026","PP CoA #019 / ППК25379, 21.01.2026
220-10-К/26, 25.08.2026","PP CoA #019 / ППК25379, 21.01.2026
220-10-К/26, 25.08.2026","ППК25379, 12.12.2025
220-10-К/26, 25.08.2026","iCoA-PP_26-032, 03.06.2026 [internal]
iCoA-PP_26-130, 17.08.2026 [internal]","PP CoA #019 / ППК25379, 21.01.2026","1229/2195/25, 05.12.2025","1229/2195/25, 05.12.2025","1229/2195/25, 05.12.2025","1229/2195/25, 05.12.2025","1229/2195/25, 05.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-10-М/26, 11.09.2026","5887/2025, 12.12.2025
220-10-М/26, 11.09.2026","release — not tested — no certificate covers it
220-10-М/26, 11.09.2026","5887/2025, 12.12.2025","5887/2025, 12.12.2025","5887/2025, 12.12.2025","5887/2025, 12.12.2025","5887/2025, 12.12.2025"
P050312,GP082501/1,Grape Pie,"iCoA-PP_26-033, 03.06.2026 [internal]
iCoA-PP_26-132, 17.08.2026 [internal]","iCoA-PP_26-033, 03.06.2026 [internal]
iCoA-PP_26-132, 17.08.2026 [internal]","PP CoA #020 / ППК25380, 21.01.2026
220-12-К/26, 25.08.2026","PP CoA #020 / ППК25380, 21.01.2026
220-12-К/26, 25.08.2026","PP CoA #020 / ППК25380, 21.01.2026
220-12-К/26, 25.08.2026","ППК25380, 12.12.2025
220-12-К/26, 25.08.2026","iCoA-PP_26-033, 03.06.2026 [internal]
iCoA-PP_26-132, 17.08.2026 [internal]","PP CoA #020 / ППК25380, 21.01.2026","1226/2192/25, 05.12.2025","1226/2192/25, 05.12.2025","1226/2192/25, 05.12.2025","1226/2192/25, 05.12.2025","1226/2192/25, 05.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-12-М/26, 11.09.2026","5888/2025, 12.12.2025
220-12-М/26, 11.09.2026","release — not tested — no certificate covers it
220-12-М/26, 11.09.2026","5888/2025, 12.12.2025","5888/2025, 12.12.2025","5888/2025, 12.12.2025","5888/2025, 12.12.2025","5888/2025, 12.12.2025"
P050322,GP082501/2,Grape Pie,"iCoA-PP_26-034, 03.06.2026 [internal]
iCoA-PP_26-109, 27.07.2026 [internal]","iCoA-PP_26-034, 03.06.2026 [internal]
iCoA-PP_26-109, 27.07.2026 [internal]","PP CoA #021 / ППК25381, 21.01.2026
197-12-К/26, 07.08.2026","PP CoA #021 / ППК25381, 21.01.2026
197-12-К/26, 07.08.2026","PP CoA #021 / ППК25381, 21.01.2026
197-12-К/26, 07.08.2026","ППК25381, 12.12.2025
197-12-К/26, 07.08.2026","iCoA-PP_26-034, 03.06.2026 [internal]
iCoA-PP_26-109, 27.07.2026 [internal]","PP CoA #021 / ППК25381, 21.01.2026","1227/2193/25, 05.12.2025","1227/2193/25, 05.12.2025","1227/2193/25, 05.12.2025","1227/2193/25, 05.12.2025","1227/2193/25, 05.12.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-12-М/26, 10.08.2026","5889/2025, 12.12.2025
197-12-М/26, 10.08.2026","release — not tested — no certificate covers it
197-12-М/26, 10.08.2026","5889/2025, 12.12.2025","5889/2025, 12.12.2025","5889/2025, 12.12.2025","5889/2025, 12.12.2025","5889/2025, 12.12.2025"
P060012,WC082501,Wedding Crusher,"iCoA-PP_26-035, 03.06.2026 [internal]
iCoA-PP_26-152, 17.08.2026 [internal]","iCoA-PP_26-035, 03.06.2026 [internal]
iCoA-PP_26-152, 17.08.2026 [internal]","ППК26001, 21.01.2026
220-28-К/26, 26.08.2026","ППК26001, 21.01.2026
220-28-К/26, 26.08.2026","ППК26001, 21.01.2026
220-28-К/26, 26.08.2026","ППК26001, 21.01.2026
220-28-К/26, 26.08.2026","iCoA-PP_26-035, 03.06.2026 [internal]
iCoA-PP_26-152, 17.08.2026 [internal]","ППК26001, 21.01.2026","3/0006/26, 20.01.2026","3/0006/26, 20.01.2026","3/0006/26, 20.01.2026","3/0006/26, 20.01.2026","3/0006/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-28-М/26, 11.09.2026","80/2026, 02.02.2026
220-28-М/26, 11.09.2026","release — not tested — no certificate covers it
220-28-М/26, 11.09.2026","80/2026, 02.02.2026","80/2026, 02.02.2026","80/2026, 02.02.2026","80/2026, 02.02.2026","80/2026, 02.02.2026"
P060022,CJ082501/1,Cap Junky,"iCoA-PP_26-036, 03.06.2026 [internal]
iCoA-PP_26-125, 17.08.2026 [internal]","iCoA-PP_26-036, 03.06.2026 [internal]
iCoA-PP_26-125, 17.08.2026 [internal]","ППК26002, 21.01.2026
220-4-К/26, 25.08.2026","ППК26002, 21.01.2026
220-4-К/26, 25.08.2026","ППК26002, 21.01.2026
220-4-К/26, 25.08.2026","ППК26002, 21.01.2026
220-4-К/26, 25.08.2026","iCoA-PP_26-036, 03.06.2026 [internal]
iCoA-PP_26-125, 17.08.2026 [internal]","ППК26002, 21.01.2026","8/0011/26, 20.01.2026","8/0011/26, 20.01.2026","8/0011/26, 20.01.2026","8/0011/26, 20.01.2026","8/0011/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-4-М/26, 11.09.2026","81/2026, 02.02.2026
220-4-М/26, 11.09.2026","release — not tested — no certificate covers it
220-4-М/26, 11.09.2026","81/2026, 02.02.2026","81/2026, 02.02.2026","81/2026, 02.02.2026","81/2026, 02.02.2026","81/2026, 02.02.2026"
P060032,CJ082501/2,Cap Junky,"iCoA-PP_26-037, 03.06.2026 [internal]
iCoA-PP_26-102, 27.07.2026 [internal]","iCoA-PP_26-037, 03.06.2026 [internal]
iCoA-PP_26-102, 27.07.2026 [internal]","ППК26003, 21.01.2026
197-5-К/26, 07.08.2026","ППК26003, 21.01.2026
197-5-К/26, 07.08.2026","ППК26003, 21.01.2026
197-5-К/26, 07.08.2026","ППК26003, 21.01.2026
197-5-К/26, 07.08.2026","iCoA-PP_26-037, 03.06.2026 [internal]
iCoA-PP_26-102, 27.07.2026 [internal]","ППК26003, 21.01.2026","4/0007/26, 20.01.2026","4/0007/26, 20.01.2026","4/0007/26, 20.01.2026","4/0007/26, 20.01.2026","4/0007/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-5-М/26, 10.08.2026","82/2026, 02.02.2026
197-5-М/26, 10.08.2026","release — not tested — no certificate covers it
197-5-М/26, 10.08.2026","82/2026, 02.02.2026","82/2026, 02.02.2026","82/2026, 02.02.2026","82/2026, 02.02.2026","82/2026, 02.02.2026"
P060042,OPM092501,Orange Punch Mimosa,"iCoA-PP_26-038, 03.06.2026 [internal]
iCoA-PP_26-141, 17.08.2026 [internal]","iCoA-PP_26-038, 03.06.2026 [internal]
iCoA-PP_26-141, 17.08.2026 [internal]","ППК26008, 21.01.2026
220-22-К/26, 26.08.2026","ППК26008, 21.01.2026
220-22-К/26, 26.08.2026","ППК26008, 21.01.2026
220-22-К/26, 26.08.2026","ППК26008, 21.01.2026
220-22-К/26, 26.08.2026","iCoA-PP_26-038, 03.06.2026 [internal]
iCoA-PP_26-141, 17.08.2026 [internal]","ППК26008, 21.01.2026","2/0005/26, 20.01.2026","2/0005/26, 20.01.2026","2/0005/26, 20.01.2026","2/0005/26, 20.01.2026","2/0005/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-22-М/26, 11.09.2026","87/2026, 03.02.2026
220-22-М/26, 11.09.2026","release — not tested — no certificate covers it
220-22-М/26, 11.09.2026","87/2026, 03.02.2026","87/2026, 03.02.2026","87/2026, 03.02.2026","87/2026, 03.02.2026","87/2026, 03.02.2026"
P060052,AB092501,Apple and Banana,"iCoA-PP_26-039, 03.06.2026 [internal]
iCoA-PP_26-173, 24.08.2026 [internal]","iCoA-PP_26-039, 03.06.2026 [internal]
iCoA-PP_26-173, 24.08.2026 [internal]","PP CoA #037 / ППК26005, 21.01.2026
227-30-К/26, 11.09.2026","PP CoA #037 / ППК26005, 21.01.2026
227-30-К/26, 11.09.2026","PP CoA #037 / ППК26005, 21.01.2026
227-30-К/26, 11.09.2026","release — not tested — no certificate covers it
227-30-К/26, 11.09.2026","iCoA-PP_26-039, 03.06.2026 [internal]
iCoA-PP_26-173, 24.08.2026 [internal]","PP CoA #037 / ППК26005, 21.01.2026","7/0010/26, 20.01.2026","7/0010/26, 20.01.2026","7/0010/26, 20.01.2026","7/0010/26, 20.01.2026","7/0010/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","84/2026, 02.02.2026
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","84/2026, 02.02.2026","84/2026, 02.02.2026","84/2026, 02.02.2026","84/2026, 02.02.2026","84/2026, 02.02.2026"
P060062,PM092501,Permanent Marker,"iCoA-PP_26-040, 03.06.2026 [internal]
iCoA-PP_26-118, 27.07.2026 [internal]","iCoA-PP_26-040, 03.06.2026 [internal]
iCoA-PP_26-118, 27.07.2026 [internal]","ППК26004, 21.01.2026
197-20-К/26, 07.08.2026","ППК26004, 21.01.2026
197-20-К/26, 07.08.2026","ППК26004, 21.01.2026
197-20-К/26, 07.08.2026","ППК26004, 21.01.2026
197-20-К/26, 07.08.2026","iCoA-PP_26-040, 03.06.2026 [internal]
iCoA-PP_26-118, 27.07.2026 [internal]","ППК26004, 21.01.2026","6/0009/26, 20.01.2026","6/0009/26, 20.01.2026","6/0009/26, 20.01.2026","6/0009/26, 20.01.2026","6/0009/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-20-М/26, 10.08.2026","83/2026, 02.02.2026
197-20-М/26, 10.08.2026","release — not tested — no certificate covers it
197-20-М/26, 10.08.2026","83/2026, 02.02.2026","83/2026, 02.02.2026","83/2026, 02.02.2026","83/2026, 02.02.2026","83/2026, 02.02.2026"
P060072,CJ092501,Cap Junky,"iCoA-PP_26-041, 03.06.2026 [internal]
iCoA-PP_26-126, 17.08.2026 [internal]","iCoA-PP_26-041, 03.06.2026 [internal]
iCoA-PP_26-126, 17.08.2026 [internal]","ППК26007, 21.01.2026
220-5-К/26, 25.08.2026","ППК26007, 21.01.2026
220-5-К/26, 25.08.2026","ППК26007, 21.01.2026
220-5-К/26, 25.08.2026","ППК26007, 21.01.2026
220-5-К/26, 25.08.2026","iCoA-PP_26-041, 03.06.2026 [internal]
iCoA-PP_26-126, 17.08.2026 [internal]","ППК26007, 21.01.2026","10/0013/26, 20.01.2026","10/0013/26, 20.01.2026","10/0013/26, 20.01.2026","10/0013/26, 20.01.2026","10/0013/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-5-М/26, 11.09.2026","86/2026, 02.02.2026
220-5-М/26, 11.09.2026","release — not tested — no certificate covers it
220-5-М/26, 11.09.2026","86/2026, 02.02.2026","86/2026, 02.02.2026","86/2026, 02.02.2026","86/2026, 02.02.2026","86/2026, 02.02.2026"
P060082,SJ092501,Sleepy Joe,"iCoA-PP_26-042, 03.06.2026 [internal]
iCoA-PP_26-151, 17.08.2026 [internal]","iCoA-PP_26-042, 03.06.2026 [internal]
iCoA-PP_26-151, 17.08.2026 [internal]","ППК26006, 21.01.2026
220-27-К/26, 26.08.2026","ППК26006, 21.01.2026
220-27-К/26, 26.08.2026","ППК26006, 21.01.2026
220-27-К/26, 26.08.2026","ППК26006, 21.01.2026
220-27-К/26, 26.08.2026","iCoA-PP_26-042, 03.06.2026 [internal]
iCoA-PP_26-151, 17.08.2026 [internal]","ППК26006, 21.01.2026","9/0012/26, 20.01.2026","9/0012/26, 20.01.2026","9/0012/26, 20.01.2026","9/0012/26, 20.01.2026","9/0012/26, 20.01.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-27-М/26, 11.09.2026","85/2026, 02.02.2026
220-27-М/26, 11.09.2026","release — not tested — no certificate covers it
220-27-М/26, 11.09.2026","85/2026, 02.02.2026","85/2026, 02.02.2026","85/2026, 02.02.2026","85/2026, 02.02.2026","85/2026, 02.02.2026"
