Tranche	Batch	P lot	Strain	Determination	State	Document to cite	Issued	Laboratory	Where the document is	Blocked: document not issued	What the document prints	Other documents on file that also carry it
1	HPA1024	—	High Pro Amnesia	5 Assay — Total CBD	CITED	197-13-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	HPA1024	—	High Pro Amnesia	6 Total CBN	CITED	197-13-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	HPA1024	—	High Pro Amnesia	7 Foreign matter	CITED	iCoA-PP_26-005	11.04.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	HPA1024	—	High Pro Amnesia	8 Loss on drying	ON FILE, NOT READ	—	—	—	in eCoA_DATABASE/_IN-HOUSE_PP		—	
1	HPA1024	—	High Pro Amnesia	9 Microbiological purity	READ IN THIS PASS	NO-DOC-CODE (Report of Analysis)	—	PP	in eCoA_DATABASE/_IN-HOUSE_PP		5.2·10⁴ CFU/g CFU/g; 7·10² CFU/g CFU/g; <10 CFU/g CFU/g; Absent; Absent	
1	HPA1024	—	High Pro Amnesia	10 Mycotoxins	CITED	197-13-M-26	10.08.2026	FHM-M	in eCoA_DATABASE		ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg; < LOQ µg/kg	
1	HPA1024	—	High Pro Amnesia	11 Heavy metals	READ IN THIS PASS	NO-DOC-CODE (Report of Analysis)	—	PP	in eCoA_DATABASE/_IN-HOUSE_PP		0.013 mg/kg mg/kg; 0.02 mg/kg mg/kg; 0.0026 mg/kg mg/kg; 0.017 mg/kg mg/kg	
1	HPA1024	—	High Pro Amnesia	12 Pesticide residues	READ IN THIS PASS	NO-DOC-CODE (Report of Analysis)	—	PP	in eCoA_DATABASE/_IN-HOUSE_PP		N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg	
1	HPA1024_01	P050052	High Pro Amnesia	1 Identification A — appearance	CITED	iCoA-PP_26-011	27.06.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	HPA1024_01	P050052	High Pro Amnesia	2 Identification B — microscopy	CITED	iCoA-PP_26-011	27.06.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	HPA1024_01	P050052	High Pro Amnesia	3 Identification C — HPLC	CITED	ППК25155	24.06.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-14-K/26
1	HPA1024_01	P050052	High Pro Amnesia	4 Assay — Total Δ⁹-THC	CITED	ППК25155	24.06.2025	CNP	in eCoA_DATABASE		22.43	197-14-K/26
1	HPA1024_01	P050052	High Pro Amnesia	5 Assay — Total CBD	CITED	ППК25155	24.06.2025	CNP	in eCoA_DATABASE		0.10	197-14-K/26
1	HPA1024_01	P050052	High Pro Amnesia	6 Total CBN	CITED	ППК25155	24.06.2025	CNP	in eCoA_DATABASE		0.02 ᴰ	197-14-K/26
1	HPA1024_01	P050052	High Pro Amnesia	7 Foreign matter	CITED	iCoA-PP_26-011	27.06.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	HPA1024_01	P050052	High Pro Amnesia	8 Loss on drying	CITED	ППК25155	24.06.2025	CNP	in eCoA_DATABASE		6.36	
1	HPA1024_01	P050052	High Pro Amnesia	9 Microbiological purity	CITED	587-1066-25	18.06.2025	IJZ-MB	in eCoA_DATABASE		9.6 x 10³; 1.5 x 10⁴; <10; Одговара; Одговара	
1	HPA1024_01	P050052	High Pro Amnesia	10 Mycotoxins	CITED	2995-2025	19.06.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-14-M/26
1	HPA1024_01	P050052	High Pro Amnesia	11 Heavy metals	CITED	2995-2025	19.06.2025	IJZ	in eCoA_DATABASE		0.059; 0.014; 0.037; 0.008	
1	HPA1024_01	P050052	High Pro Amnesia	12 Pesticide residues	CITED	2995-2025	19.06.2025	IJZ	in eCoA_DATABASE		≤ LOQ (all 23 compounds)	
1	J31102501	P060152	Jokerz 31	1 Identification A — appearance	CITED	iCoA-PP_26-048	05.03.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	J31102501	P060152	Jokerz 31	2 Identification B — microscopy	CITED	iCoA-PP_26-048	05.03.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	J31102501	P060152	Jokerz 31	3 Identification C — HPLC	CITED	051-1-K-26	04.03.2026	FHM-K	in eCoA_DATABASE		Conforms (ImB spec.) ᴿ	197-16-K/26
1	J31102501	P060152	Jokerz 31	4 Assay — Total Δ⁹-THC	CITED	051-1-K-26	04.03.2026	FHM-K	in eCoA_DATABASE		19.14	197-16-K/26
1	J31102501	P060152	Jokerz 31	5 Assay — Total CBD	CITED	051-1-K-26	04.03.2026	FHM-K	in eCoA_DATABASE		<LOQ**	197-16-K/26
1	J31102501	P060152	Jokerz 31	6 Total CBN	CITED	051-1-K-26	04.03.2026	FHM-K	in eCoA_DATABASE		<LOQ**	197-16-K/26
1	J31102501	P060152	Jokerz 31	7 Foreign matter	CITED	iCoA-PP_26-048	05.03.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	J31102501	P060152	Jokerz 31	8 Loss on drying	CITED	051-1-LoD-26	02.03.2026	FHM-K	in eCoA_DATABASE		6.3	
1	J31102501	P060152	Jokerz 31	9 Microbiological purity	READ IN THIS PASS	133/0230/26	06.03.2026	IJZ-MB	in eCoA_DATABASE		1,6 x 10² CFU/g CFU/g; 1,9 x 10² CFU/g CFU/g; < 10 CFU/g CFU/g; Одговара; Одговара	
1	J31102501	P060152	Jokerz 31	10 Mycotoxins	CITED	197-16-M-26	10.08.2026	FHM-M	in eCoA_DATABASE		ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg	1056/2026
1	J31102501	P060152	Jokerz 31	11 Heavy metals	READ IN THIS PASS	1056/2026	09.03.2026	IJZ	in eCoA_DATABASE		0,061 mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l)	
1	J31102501	P060152	Jokerz 31	12 Pesticide residues	READ IN THIS PASS	1056/2026	09.03.2026	IJZ	in eCoA_DATABASE		н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/Kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg;	
1	JD112501	P060212	Jelly Donuts	1 Identification A — appearance	CITED	iCoA-PP_26-054	21.04.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	JD112501	P060212	Jelly Donuts	2 Identification B — microscopy	CITED	iCoA-PP_26-054	21.04.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	JD112501	P060212	Jelly Donuts	3 Identification C — HPLC	CITED	ППК26063	11.05.2026	CNP	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	197-15-K/26; ППК26065
1	JD112501	P060212	Jelly Donuts	4 Assay — Total Δ⁹-THC	CITED	ППК26063	11.05.2026	CNP	in eCoA_DATABASE		0.58 % %; 21.74 % %; 19.64 % %	197-15-K/26; ППК26065
1	JD112501	P060212	Jelly Donuts	5 Assay — Total CBD	CITED	ППК26063	11.05.2026	CNP	in eCoA_DATABASE		0.07 % %; BLQ %; 0.06 % %	197-15-K/26; ППК26065
1	JD112501	P060212	Jelly Donuts	6 Total CBN	CITED	ППК26063	11.05.2026	CNP	in eCoA_DATABASE		BLQ %	197-15-K/26; ППК26065
1	JD112501	P060212	Jelly Donuts	7 Foreign matter	CITED	iCoA-PP_26-054	21.04.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	JD112501	P060212	Jelly Donuts	8 Loss on drying	CITED	ППК26063	11.05.2026	CNP	in eCoA_DATABASE		6.69 % %	ППК26065
1	JD112501	P060212	Jelly Donuts	9 Microbiological purity	CITED	306-0550-26	28.04.2026	IJZ-MB	in eCoA_DATABASE		1 x 10⁴ CFU/g CFU/g; 6,7 x 10³ CFU/g CFU/g; < 10³ и >10² CFU/g CFU/g; Отсутна/g; Отсутна/25 g	307/0551/26
1	JD112501	P060212	Jelly Donuts	10 Mycotoxins	CITED	2361-2026	30.04.2026	IJZ	in eCoA_DATABASE		< 2 µg/kg	197-15-M/26; 2365/2026
1	JD112501	P060212	Jelly Donuts	11 Heavy metals	CITED	2361-2026	30.04.2026	IJZ	in eCoA_DATABASE		0,022 mg/kg; 0,0149 mg/kg(l); 0,02 mg/kg(l); 0,0166 mg/kg(l)	2365/2026
1	JD112501	P060212	Jelly Donuts	12 Pesticide residues	CITED	2361-2026	30.04.2026	IJZ	in eCoA_DATABASE		н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/Kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg;	2365/2026
1	OPM1024	—	Orange Punch Mimosa	1 Identification A — appearance	CITED	NO-DOC-CODE (Report of Analysis)	23.04.2025	PP	in eCoA_DATABASE/_IN-HOUSE_PP		Confirms	
1	OPM1024	—	Orange Punch Mimosa	2 Identification B — microscopy	CITED	iCoA-PP_26-006	24.04.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	OPM1024	—	Orange Punch Mimosa	3 Identification C — HPLC	CITED	197-17-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	
1	OPM1024	—	Orange Punch Mimosa	4 Assay — Total Δ⁹-THC	CITED	197-17-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		20.03 %w/w	
1	OPM1024	—	Orange Punch Mimosa	5 Assay — Total CBD	CITED	197-17-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	OPM1024	—	Orange Punch Mimosa	6 Total CBN	CITED	197-17-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	OPM1024	—	Orange Punch Mimosa	7 Foreign matter	CITED	NO-DOC-CODE (Report of Analysis)	23.04.2025	PP	in eCoA_DATABASE/_IN-HOUSE_PP		Confirms	
1	OPM1024	—	Orange Punch Mimosa	8 Loss on drying	ON FILE, NOT READ	—	—	—	in eCoA_DATABASE/_IN-HOUSE_PP		—	
1	OPM1024	—	Orange Punch Mimosa	9 Microbiological purity	READ IN THIS PASS	NO-DOC-CODE (Report of Analysis)	—	PP	in eCoA_DATABASE/_IN-HOUSE_PP		1.3·10⁴ CFU/g CFU/g; 7·10² CFU/g CFU/g; <10²>10³CFU/g CFU/g; Absent; Absent	
1	OPM1024	—	Orange Punch Mimosa	10 Mycotoxins	CITED	197-17-M-26	10.08.2026	FHM-M	in eCoA_DATABASE		ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg	
1	OPM1024	—	Orange Punch Mimosa	11 Heavy metals	READ IN THIS PASS	NO-DOC-CODE (Report of Analysis)	—	PP	in eCoA_DATABASE/_IN-HOUSE_PP		0.017 mg/kg mg/kg; 0.031 mg/kg mg/kg; 0.005 mg/kg mg/kg; 0.045 mg/kg mg/kg	
1	OPM1024	—	Orange Punch Mimosa	12 Pesticide residues	READ IN THIS PASS	NO-DOC-CODE (Report of Analysis)	—	PP	in eCoA_DATABASE/_IN-HOUSE_PP		N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg; N.D. mg/kg	
1	OPM1024_02	P050062	Orange Punch Mimosa	1 Identification A — appearance	CITED	iCoA-PP_26-012	04.07.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	OPM1024_02	P050062	Orange Punch Mimosa	2 Identification B — microscopy	CITED	iCoA-PP_26-012	04.07.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	OPM1024_02	P050062	Orange Punch Mimosa	3 Identification C — HPLC	CITED	ППК25154	24.06.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-18-K/26
1	OPM1024_02	P050062	Orange Punch Mimosa	4 Assay — Total Δ⁹-THC	CITED	ППК25154	24.06.2025	CNP	in eCoA_DATABASE		18.27	197-18-K/26
1	OPM1024_02	P050062	Orange Punch Mimosa	5 Assay — Total CBD	CITED	ППК25154	24.06.2025	CNP	in eCoA_DATABASE		0.05	197-18-K/26
1	OPM1024_02	P050062	Orange Punch Mimosa	6 Total CBN	CITED	ППК25154	24.06.2025	CNP	in eCoA_DATABASE		0.02 ᴰ	197-18-K/26
1	OPM1024_02	P050062	Orange Punch Mimosa	7 Foreign matter	CITED	iCoA-PP_26-012	04.07.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	OPM1024_02	P050062	Orange Punch Mimosa	8 Loss on drying	CITED	ППК25154	24.06.2025	CNP	in eCoA_DATABASE		6.89	
1	OPM1024_02	P050062	Orange Punch Mimosa	9 Microbiological purity	CITED	588-1067-25	18.06.2025	IJZ-MB	in eCoA_DATABASE		3.4 x 10³; 3.6 x 10³; <10; Одговара; Одговара	
1	OPM1024_02	P050062	Orange Punch Mimosa	10 Mycotoxins	CITED	2994-2025	19.06.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-18-M/26
1	OPM1024_02	P050062	Orange Punch Mimosa	11 Heavy metals	CITED	2994-2025	19.06.2025	IJZ	in eCoA_DATABASE		0.052; 0.011; 0.028; 0.061	
1	OPM1024_02	P050062	Orange Punch Mimosa	12 Pesticide residues	CITED	2994-2025	19.06.2025	IJZ	in eCoA_DATABASE		FINDS: delta HCH <0.01	
1	OPM122501	P060242	Orange Punch Mimosa	1 Identification A — appearance	CITED	iCoA-PP_26-057	28.04.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	OPM122501	P060242	Orange Punch Mimosa	2 Identification B — microscopy	CITED	iCoA-PP_26-057	28.04.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	OPM122501	P060242	Orange Punch Mimosa	3 Identification C — HPLC	CITED	100-4-K-26	09.04.2026	FHM-K	in eCoA_DATABASE		Conforms (ImB spec.) ᴿ	197-19-K/26
1	OPM122501	P060242	Orange Punch Mimosa	4 Assay — Total Δ⁹-THC	CITED	100-4-K-26	09.04.2026	FHM-K	in eCoA_DATABASE		8.09	197-19-K/26
1	OPM122501	P060242	Orange Punch Mimosa	5 Assay — Total CBD	CITED	100-4-K-26	09.04.2026	FHM-K	in eCoA_DATABASE		<LOQ	197-19-K/26
1	OPM122501	P060242	Orange Punch Mimosa	6 Total CBN	CITED	100-4-K-26	09.04.2026	FHM-K	in eCoA_DATABASE		<LOQ	197-19-K/26
1	OPM122501	P060242	Orange Punch Mimosa	7 Foreign matter	CITED	iCoA-PP_26-057	28.04.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	OPM122501	P060242	Orange Punch Mimosa	8 Loss on drying	CITED	100-4-LoD-26	09.04.2026	FHM-K	in eCoA_DATABASE		6.6	
1	OPM122501	P060242	Orange Punch Mimosa	9 Microbiological purity	CITED	229-0392-26	07.04.2026	IJZ-MB	in eCoA_DATABASE		120; 100; <10; Одговара; Одговара	
1	OPM122501	P060242	Orange Punch Mimosa	10 Mycotoxins	CITED	1627-2026	23.04.2026	IJZ	in eCoA_DATABASE		n.r.; 2.2; n.r.	197-19-M/26
1	OPM122501	P060242	Orange Punch Mimosa	11 Heavy metals	CITED	1627-2026	23.04.2026	IJZ	in eCoA_DATABASE		0.049; 0.165; н.д.; н.д.	
1	OPM122501	P060242	Orange Punch Mimosa	12 Pesticide residues	CITED	1627-2026	23.04.2026	IJZ	in eCoA_DATABASE		≤ LOQ (all 25 compounds)	
1	PM092501	P060062	Permanent Marker	1 Identification A — appearance	CITED	iCoA-PP_26-042	30.01.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	PM092501	P060062	Permanent Marker	2 Identification B — microscopy	CITED	iCoA-PP_26-042	30.01.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	PM092501	P060062	Permanent Marker	3 Identification C — HPLC	CITED	ППК26004	21.01.2026	CNP	in eCoA_DATABASE		Conforms (ImB spec.) ᴿ	197-20-K/26
1	PM092501	P060062	Permanent Marker	4 Assay — Total Δ⁹-THC	CITED	ППК26004	21.01.2026	CNP	in eCoA_DATABASE		14.06 ᴿ	197-20-K/26
1	PM092501	P060062	Permanent Marker	5 Assay — Total CBD	CITED	ППК26004	21.01.2026	CNP	in eCoA_DATABASE		0.05	197-20-K/26
1	PM092501	P060062	Permanent Marker	6 Total CBN	CITED	ППК26004	21.01.2026	CNP	in eCoA_DATABASE		BLQ ᴰ	197-20-K/26
1	PM092501	P060062	Permanent Marker	7 Foreign matter	CITED	iCoA-PP_26-042	30.01.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	PM092501	P060062	Permanent Marker	8 Loss on drying	CITED	ППК26004	21.01.2026	CNP	in eCoA_DATABASE		7.97	
1	PM092501	P060062	Permanent Marker	9 Microbiological purity	CITED	6-0009-26	20.01.2026	IJZ-MB	in eCoA_DATABASE		2×10³; 2.2×10³; <10; Одговара; Одговара	
1	PM092501	P060062	Permanent Marker	10 Mycotoxins	CITED	83-2026	02.02.2026	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-20-M/26
1	PM092501	P060062	Permanent Marker	11 Heavy metals	CITED	83-2026	02.02.2026	IJZ	in eCoA_DATABASE		0.03; Н.д.; Н.д.; Н.д.	
1	PM092501	P060062	Permanent Marker	12 Pesticide residues	CITED	83-2026	02.02.2026	IJZ	in eCoA_DATABASE		≤ LOQ (all 28 compounds)	
1	SCR012603	P060382	Scrambler	1 Identification A — appearance	CITED	iCoA-PP_26-069	25.05.2026	PP	planned, NOT ISSUED (2026-06-01)	YES — the certificate has not been issued	Conforms	
1	SCR012603	P060382	Scrambler	2 Identification B — microscopy	CITED	iCoA-PP_26-069	25.05.2026	PP	planned, NOT ISSUED (2026-06-01)	YES — the certificate has not been issued	Conforms	
1	SCR012603	P060382	Scrambler	3 Identification C — HPLC	CITED	197-21-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	
1	SCR012603	P060382	Scrambler	4 Assay — Total Δ⁹-THC	CITED	197-21-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		17.84 %w/w	
1	SCR012603	P060382	Scrambler	5 Assay — Total CBD	CITED	197-21-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	SCR012603	P060382	Scrambler	6 Total CBN	CITED	197-21-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	SCR012603	P060382	Scrambler	7 Foreign matter	CITED	iCoA-PP_26-069	25.05.2026	PP	planned, NOT ISSUED (2026-06-01)	YES — the certificate has not been issued	Conforms	
1	SCR012603	P060382	Scrambler	8 Loss on drying	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	SCR012603	P060382	Scrambler	9 Microbiological purity	READ IN THIS PASS	364/0694/26	01.06.2026	IJZ-MB	in eCoA_DATABASE		5,4 x 10⁴ CFU/g CFU/g; 1,8 x 10⁴ CFU/g CFU/g; < 10 CFU/g CFU/g; Отсутна /g; Отсутна /25 g	
1	SCR012603	P060382	Scrambler	10 Mycotoxins	CITED	197-21-M-26	10.08.2026	FHM-M	in eCoA_DATABASE		ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg	
1	SCR012603	P060382	Scrambler	11 Heavy metals	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	SCR012603	P060382	Scrambler	12 Pesticide residues	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	ACC102501	P060122	Amnesia Core Cut	1 Identification A — appearance	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	ACC102501	P060122	Amnesia Core Cut	2 Identification B — microscopy	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	ACC102501	P060122	Amnesia Core Cut	3 Identification C — HPLC	READ IN THIS PASS	031-5-K/26	10.02.2026	FHM	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	220-1-K/26
2	ACC102501	P060122	Amnesia Core Cut	4 Assay — Total Δ⁹-THC	READ IN THIS PASS	031-5-K/26	10.02.2026	FHM	in eCoA_DATABASE		12.91 %w/w; 0.79 %; 12.91 %w/w; 0.79 %	220-1-K/26
2	ACC102501	P060122	Amnesia Core Cut	5 Assay — Total CBD	READ IN THIS PASS	031-5-K/26	10.02.2026	FHM	in eCoA_DATABASE		<LOQ** %w/w; <LOQ** %w/w	220-1-K/26
2	ACC102501	P060122	Amnesia Core Cut	6 Total CBN	READ IN THIS PASS	031-5-K/26	10.02.2026	FHM	in eCoA_DATABASE		<LOQ** %w/w; <LOQ** %w/w	220-1-K/26
2	ACC102501	P060122	Amnesia Core Cut	7 Foreign matter	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	ACC102501	P060122	Amnesia Core Cut	8 Loss on drying	READ IN THIS PASS	031-5-LoD/26	12.02.2026	FHM	in eCoA_DATABASE		7,1 %	
2	ACC102501	P060122	Amnesia Core Cut	9 Microbiological purity	READ IN THIS PASS	77/0120/26	09.02.2026	IJZ-MB	in eCoA_DATABASE		1 x 10³ CFU/g CFU/g; 1,6 x 10³ CFU/g CFU/g; < 10 CFU/g CFU/g; Одговара; Одговара	
2	ACC102501	P060122	Amnesia Core Cut	10 Mycotoxins	READ IN THIS PASS	326/2026	11.02.2026	IJZ	in eCoA_DATABASE		2,3 µg/kg	
2	ACC102501	P060122	Amnesia Core Cut	11 Heavy metals	READ IN THIS PASS	326/2026	11.02.2026	IJZ	in eCoA_DATABASE		0,078 mg/kg(l); н.д. mg/kg(l); 0,022 mg/kg(l); н.д. mg/kg(l)	
2	ACC102501	P060122	Amnesia Core Cut	12 Pesticide residues	READ IN THIS PASS	326/2026	11.02.2026	IJZ	in eCoA_DATABASE		н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/Kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg;	
2	BSS052501	P050192	Blue Sunset Sherbet	1 Identification A — appearance	CITED	iCoA-PP_26-025	10.10.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
2	BSS052501	P050192	Blue Sunset Sherbet	2 Identification B — microscopy	CITED	iCoA-PP_26-025	10.10.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
2	BSS052501	P050192	Blue Sunset Sherbet	3 Identification C — HPLC	CITED	NGP-QCG-SOP-024 F3	28.11.2025	NGP	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	220-2-K/26
2	BSS052501	P050192	Blue Sunset Sherbet	4 Assay — Total Δ⁹-THC	CITED	NGP-QCG-SOP-024 F3	28.11.2025	NGP	in eCoA_DATABASE		20.39 % (w/w)	220-2-K/26
2	BSS052501	P050192	Blue Sunset Sherbet	5 Assay — Total CBD	CITED	NGP-QCG-SOP-024 F3	28.11.2025	NGP	in eCoA_DATABASE		0.11 % (w/w)	220-2-K/26
2	BSS052501	P050192	Blue Sunset Sherbet	6 Total CBN	CITED	NGP-QCG-SOP-024 F3	28.11.2025	NGP	in eCoA_DATABASE		0.05 % (w/w); 0.01 % (w/w); 0.96 % (w/w); 0.06 % (w/w); 22.16 % (w/w)	220-2-K/26
2	BSS052501	P050192	Blue Sunset Sherbet	7 Foreign matter	CITED	iCoA-PP_26-025	10.10.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
2	BSS052501	P050192	Blue Sunset Sherbet	8 Loss on drying	READ IN THIS PASS	NGP-QCG-SOP-024 F3	28.11.2025	NGP	in eCoA_DATABASE		8.60 %	
2	BSS052501	P050192	Blue Sunset Sherbet	9 Microbiological purity	CITED	1157-2058-25	24.11.2025	IJZ-MB	in eCoA_DATABASE		200 CFU/g CFU/g; 200 CFU/g CFU/g; < 10² и >10 CFU/g CFU/g; Одговара /g; Одговара /25 g	548/1079/26
2	BSS052501	P050192	Blue Sunset Sherbet	10 Mycotoxins	CITED	276-31-M-25	04.12.2025	FHM-M	in eCoA_DATABASE		ND * μg/kg; ND * μg/kg; ND * μg/kg; ND * μg/kg; <LOQ ** μg/kg	
2	BSS052501	P050192	Blue Sunset Sherbet	11 Heavy metals	CITED	5661-2025	01.12.2025	IJZ	in eCoA_DATABASE		0,024 mg/kg; 0,004 mg/kg(l); 0,025 mg/kg(l); 0,0036 mg/kg(l)	
2	BSS052501	P050192	Blue Sunset Sherbet	12 Pesticide residues	CITED	10802_2845-2 EN	17.11.2025	DFL	in eCoA_DATABASE		≤ LOQ (0.01 mg/kg) mg/kg	10802_2845-2 MK
2	CC012603	P060372	CashCow	1 Identification A — appearance	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	CC012603	P060372	CashCow	2 Identification B — microscopy	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	CC012603	P060372	CashCow	3 Identification C — HPLC	READ IN THIS PASS	220-29-K/26	26.08.2026	FHM	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	
2	CC012603	P060372	CashCow	4 Assay — Total Δ⁹-THC	READ IN THIS PASS	220-29-K/26	26.08.2026	FHM	in eCoA_DATABASE		14.76 % w/w	
2	CC012603	P060372	CashCow	5 Assay — Total CBD	READ IN THIS PASS	220-29-K/26	26.08.2026	FHM	in eCoA_DATABASE		< LOQ % w/w	
2	CC012603	P060372	CashCow	6 Total CBN	READ IN THIS PASS	220-29-K/26	26.08.2026	FHM	in eCoA_DATABASE		< LOQ % w/w	
2	CC012603	P060372	CashCow	7 Foreign matter	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	CC012603	P060372	CashCow	8 Loss on drying	NOTHING ON FILE	—	—	—	no document anywhere		—	
2	CC012603	P060372	CashCow	9 Microbiological purity	READ IN THIS PASS	363/0693/26	01.06.2026	IJZ-MB	in eCoA_DATABASE		2,7 x 10³ CFU/g CFU/g; 1,6 x 10⁴ CFU/g CFU/g; < 10 CFU/g CFU/g; Отсутна /g; Отсутна /25 g	
